# #Teff log(g)
5.053800000000000182e+03 5.053800000000000182e+03
5.762300000000000182e+03 5.762300000000000182e+03
4.721399999999999636e+03 4.721399999999999636e+03
4.842699999999999818e+03 4.842699999999999818e+03
4.747800000000000182e+03 4.747800000000000182e+03
4.347699999999999818e+03 4.347699999999999818e+03
4.389399999999999636e+03 4.389399999999999636e+03
3.602300000000000182e+03 3.602300000000000182e+03
4.780699999999999818e+03 4.780699999999999818e+03
3.957199999999999818e+03 3.957199999999999818e+03
4.355800000000000182e+03 4.355800000000000182e+03
5.374600000000000364e+03 5.374600000000000364e+03
5.399899999999999636e+03 5.399899999999999636e+03
5.458699999999999818e+03 5.458699999999999818e+03
4.085400000000000091e+03 4.085400000000000091e+03
6.034500000000000000e+03 6.034500000000000000e+03
3.401000000000000000e+03 3.401000000000000000e+03
5.539699999999999818e+03 5.539699999999999818e+03
3.727500000000000000e+03 3.727500000000000000e+03
5.149100000000000364e+03 5.149100000000000364e+03
5.854300000000000182e+03 5.854300000000000182e+03
5.049800000000000182e+03 5.049800000000000182e+03
4.666399999999999636e+03 4.666399999999999636e+03
5.818600000000000364e+03 5.818600000000000364e+03
4.188699999999999818e+03 4.188699999999999818e+03
4.617600000000000364e+03 4.617600000000000364e+03
4.042900000000000091e+03 4.042900000000000091e+03
3.633500000000000000e+03 3.633500000000000000e+03
5.105899999999999636e+03 5.105899999999999636e+03
3.332300000000000182e+03 3.332300000000000182e+03
5.460199999999999818e+03 5.460199999999999818e+03
3.426800000000000182e+03 3.426800000000000182e+03
3.211300000000000182e+03 3.211300000000000182e+03
5.207800000000000182e+03 5.207800000000000182e+03
3.361599999999999909e+03 3.361599999999999909e+03
3.937599999999999909e+03 3.937599999999999909e+03
4.779899999999999636e+03 4.779899999999999636e+03
4.468399999999999636e+03 4.468399999999999636e+03
3.508000000000000000e+03 3.508000000000000000e+03
3.602400000000000091e+03 3.602400000000000091e+03
3.445300000000000182e+03 3.445300000000000182e+03
3.799400000000000091e+03 3.799400000000000091e+03
6.033000000000000000e+03 6.033000000000000000e+03
4.443600000000000364e+03 4.443600000000000364e+03
5.483800000000000182e+03 5.483800000000000182e+03
5.210600000000000364e+03 5.210600000000000364e+03
4.905899999999999636e+03 4.905899999999999636e+03
5.163399999999999636e+03 5.163399999999999636e+03
4.358699999999999818e+03 4.358699999999999818e+03
5.043699999999999818e+03 5.043699999999999818e+03
1.914420000000000073e+04 1.914420000000000073e+04
5.201699999999999818e+03 5.201699999999999818e+03
6.467800000000000182e+03 6.467800000000000182e+03
4.721800000000000182e+03 4.721800000000000182e+03
4.977800000000000182e+03 4.977800000000000182e+03
5.489399999999999636e+03 5.489399999999999636e+03
5.642899999999999636e+03 5.642899999999999636e+03
5.864300000000000182e+03 5.864300000000000182e+03
4.315899999999999636e+03 4.315899999999999636e+03
5.097800000000000182e+03 5.097800000000000182e+03
4.494899999999999636e+03 4.494899999999999636e+03
4.287699999999999818e+03 4.287699999999999818e+03
3.217800000000000182e+03 3.217800000000000182e+03
5.777500000000000000e+03 5.777500000000000000e+03
4.732000000000000000e+03 4.732000000000000000e+03
3.446000000000000000e+03 3.446000000000000000e+03
5.109000000000000000e+03 5.109000000000000000e+03
3.243199999999999818e+03 3.243199999999999818e+03
3.648500000000000000e+03 3.648500000000000000e+03
5.652800000000000182e+03 5.652800000000000182e+03
5.019800000000000182e+03 5.019800000000000182e+03
6.145500000000000000e+03 6.145500000000000000e+03
4.403100000000000364e+03 4.403100000000000364e+03
